ORIGINAL SENTENCE,Sentence,Command,CATEGORY
The sunsets in the desert are often a fiery blue colour.Change colour to orange.,The sunsets in the desert are often a fiery blue colour.,Change colour to orange.,COMMAND
He wore a light blue shirt that matched his eyes.Update blue to red.,He wore a light blue shirt that matched his eyes.,Update blue to red.,COMMAND
Monica is a graphic designer at an advertising agency.Change name to Rachel.,Monica is a graphic designer at an advertising agency.,Change name to Rachel.,COMMAND
William is a doctor at the clinic.Update name to Chandler.,William is a doctor at the clinic.,Update name to Chandler.,COMMAND
Stephanie is a veterinarian at the animal hospital.Revise Stephanie to Ross Geller.,Stephanie is a veterinarian at the animal hospital.,Revise Stephanie to Ross Geller.,COMMAND
Kevin is a construction worker.Modify name to Phoebe.,Kevin is a construction worker.,Modify name to Phoebe.,COMMAND
Melissa is a librarian at the public library.Edit Melissa to Phil Dunphy.,Melissa is a librarian at the public library.,Edit Melissa to Phil Dunphy.,COMMAND
"Meta is a technology company based in Redmond, Washington.Update title to Microsoft.","Meta is a technology company based in Redmond, Washington.",Update title to Microsoft.,COMMAND
The SAARC is an international organisation that promotes peaceModify name to United Nations.,The SAARC is an international organisation that promotes peace,Modify name to United Nations.,COMMAND
Amazon is a search engine and technology company headquartered inRevise organisation name to Google.,Amazon is a search engine and technology company headquartered in,Revise organisation name to Google.,COMMAND
The International Monetary Fund is a specialised agency of the UnitedEdit title to World Health Organisation.,The International Monetary Fund is a specialised agency of the United,Edit title to World Health Organisation.,COMMAND
Nations that focus on global public health.Edit title to World Health Organisation.,Nations that focus on global public health.,Edit title to World Health Organisation.,COMMAND
The Unicef is an humanitarian organisation that providesUpdate Unicef to Red Cross.,The Unicef is an humanitarian organisation that provides,Update Unicef to Red Cross.,COMMAND
Please call me at 555-555-1212.Modify phone number to 555-555-2323.,Please call me at 555-555-1212.,Modify phone number to 555-555-2323.,COMMAND
My phone number is 555-555-1212.Update 555-555-1212 to 555-555-4545.,My phone number is 555-555-1212.,Update 555-555-1212 to 555-555-4545.,COMMAND
You can reach me at 555-555-1212 if you need to.Change number to 555-555-8989.,You can reach me at 555-555-1212 if you need to.,Change number to 555-555-8989.,COMMAND
I can be reached at 555-555-1212.Revise contact number 555-555-6767.,I can be reached at 555-555-1212.,Revise contact number 555-555-6767.,COMMAND
My contact number is 555-555-1212.Alter 555-555-1212 to 555-555-9092,My contact number is 555-555-1212.,Alter 555-555-1212 to 555-555-9092,COMMAND
"If you need to reach me, my phone number is 555-555-1212.Update number to 555-666-7777.","If you need to reach me, my phone number is 555-555-1212.",Update number to 555-666-7777.,COMMAND
"I can't seem to find my phone, can you call me on my cell phone at 555-555-5555?Revise 555-555-5555 to 555-555-6969.","I can't seem to find my phone, can you call me on my cell phone at 555-555-5555?",Revise 555-555-5555 to 555-555-6969.,COMMAND
Please contact customer service at 888-888-8888 for any inquiries.Modify contact to 555-555-7878.,Please contact customer service at 888-888-8888 for any inquiries.,Modify contact to 555-555-7878.,COMMAND
The phone number for directory assistance is 911.Change number to 911.,The phone number for directory assistance is 911.,Change number to 911.,COMMAND
"Don't forget to program the emergency contact phone number, 555-666-7777, into your cell phone.Update phone number to 555-666-8888.","Don't forget to program the emergency contact phone number, 555-666-7777, into your cell phone.",Update phone number to 555-666-8888.,COMMAND
The company's profits increased by 50% last year.Change 50% to 60%.,The company's profits increased by 50% last year.,Change 50% to 60%.,COMMAND
"The teacher gave him a grade of 80%, which is a B.Update percentage to 90%.","The teacher gave him a grade of 80%, which is a B.",Update percentage to 90%.,COMMAND
The population of the city has grown by 15% in the last decade.Modify percentage to 20%.,The population of the city has grown by 15% in the last decade.,Modify percentage to 20%.,COMMAND
The sale at the store is offering a 20% discount on all merchandise.Revise percentage to 35%.,The sale at the store is offering a 20% discount on all merchandise.,Revise percentage to 35%.,COMMAND
The stock market went down by 30% during the recession.Edit 30% to 40%.,The stock market went down by 30% during the recession.,Edit 30% to 40%.,COMMAND
The new product has a success rate of 95%.Edit percentage to 75%.,The new product has a success rate of 95%.,Edit percentage to 75%.,COMMAND
The temperature has dropped by 10% in the last hourChange 10% to 15%.,The temperature has dropped by 10% in the last hour,Change 10% to 15%.,COMMAND
The number of people attending the event increased by 25% from the previous year.Update percentage to 35%.,The number of people attending the event increased by 25% from the previous year.,Update percentage to 35%.,COMMAND
The team's win percentage is 60%.Rewrite 60% to 90%.,The team's win percentage is 60%.,Rewrite 60% to 90%.,COMMAND
The price of the house has increased by 5% since it was last on the Market.Rewrite percentage to 10%.,The price of the house has increased by 5% since it was last on the Market.,Rewrite percentage to 10%.,COMMAND
I'll meet you at the park at noon.Change time to evening.,I'll meet you at the park at noon.,Change time to evening.,COMMAND
The flight departs at 6:00 AM tomorrow morning.Modify 6:00 AM to 6:00 PM,The flight departs at 6:00 AM tomorrow morning.,Modify 6:00 AM to 6:00 PM,COMMAND
The store closes at 9:00 PM every night.Update time to 10:00 PM,The store closes at 9:00 PM every night.,Update time to 10:00 PM,COMMAND
The party starts at 7:30 PM and goes until midnight.Revise time to 8:30 PM,The party starts at 7:30 PM and goes until midnight.,Revise time to 8:30 PM,COMMAND
I usually wake up at 6:00 AM on weekdays.Edit 6:00 AM to 9:00 AM,I usually wake up at 6:00 AM on weekdays.,Edit 6:00 AM to 9:00 AM,COMMAND
Dinner will be ready at 6:00 PM.Amend time to 8:00 PM,Dinner will be ready at 6:00 PM.,Amend time to 8:00 PM,COMMAND
The movie starts at 8:00 PM and is two hours long.Edit time to 7:30 PM,The movie starts at 8:00 PM and is two hours long.,Edit time to 7:30 PM,COMMAND
She has a dentist appointment at 2:00 PM.Change 2:00 PM to 3:00 PM,She has a dentist appointment at 2:00 PM.,Change 2:00 PM to 3:00 PM,COMMAND
I usually have dinner at 6:30 PM.Modify time to 9:30PM,I usually have dinner at 6:30 PM.,Modify time to 9:30PM,COMMAND
The museum is open from 10:00 AM to 6:00 PM.Update 6:00 PM to 8:00 PM,The museum is open from 10:00 AM to 6:00 PM.,Update 6:00 PM to 8:00 PM,COMMAND
"The flight to New York leaves at 8:00 am on Thursday, April 1st.Update date to January 10th.","The flight to New York leaves at 8:00 am on Thursday, April 1st.",Update date to January 10th.,COMMAND
"The party starts at 7:00 pm and ends at 11:00 pm on Friday, December 31st.Change 31st to 1st.","The party starts at 7:00 pm and ends at 11:00 pm on Friday, December 31st.",Change 31st to 1st.,COMMAND
"My dentist appointment is at 1:00 pm on Tuesday, February 14th.Edit date to November 14th.","My dentist appointment is at 1:00 pm on Tuesday, February 14th.",Edit date to November 14th.,COMMAND
"The concert begins at 7:30 pm and doors open at 6:30 pm on Saturday, August 15th.Rewrite August 15th to October 2nd.","The concert begins at 7:30 pm and doors open at 6:30 pm on Saturday, August 15th.",Rewrite August 15th to October 2nd.,COMMAND
"The store opens at 9:00 am and closes at 9:00 pm every day except for Sundays, when it closes at 6:00 pm.Revise day to Saturday.","The store opens at 9:00 am and closes at 9:00 pm every day except for Sundays, when it closes at 6:00 pm.",Revise day to Saturday.,COMMAND
"I have a meeting on Monday, January 10th.Change date to February 16th.","I have a meeting on Monday, January 10th.",Change date to February 16th.,COMMAND
"The library is closed on holidays, including Easter and Christmas.Rewrite Christmas to Halloween.","The library is closed on holidays, including Easter and Christmas.",Rewrite Christmas to Halloween.,COMMAND
"The deadline for submitting the report is Friday, February 12th at 5pm.Modify date to March 11th.","The deadline for submitting the report is Friday, February 12th at 5pm.",Modify date to March 11th.,COMMAND
"I was born on September 21st, 1990.Update date to August 24th, 2002.","I was born on September 21st, 1990.","Update date to August 24th, 2002.",COMMAND
"The concert is scheduled for Saturday, June 5th at 7pm.The concert is scheduled for Saturday, June 5th at 7pm.","The concert is scheduled for Saturday, June 5th at 7pm.","The concert is scheduled for Saturday, June 5th at 7pm.",COMMAND
I have $20 in my wallet.Update money to 40.,I have $20 in my wallet.,Update money to 40.,COMMAND
There are 50 weeks in a year.Change the number of weeks to 52.,There are 50 weeks in a year.,Change the number of weeks to 52.,COMMAND
The temperature outside is currently -5 degrees Celsius.Modify temperature to -10.,The temperature outside is currently -5 degrees Celsius.,Modify temperature to -10.,COMMAND
I need to buy 3 apples at the grocery store.Rewrite 3 to 6.,I need to buy 3 apples at the grocery store.,Rewrite 3 to 6.,COMMAND
The apartment building has 12 floors.Update number to 16.,The apartment building has 12 floors.,Update number to 16.,COMMAND
The school has an enrollment of approximately 500 students.Rewrite 500 to 1000.,The school has an enrollment of approximately 500 students.,Rewrite 500 to 1000.,COMMAND
I need to travel 60 miles to get to my grandmother's house.Edit distance to 40.,I need to travel 60 miles to get to my grandmother's house.,Edit distance to 40.,COMMAND
The recipe calls for 2 cups of sugar.Edit 2 to 1.,The recipe calls for 2 cups of sugar.,Edit 2 to 1.,COMMAND
The store is offering a 20% discount on all items.Change percentage to 45%.,The store is offering a 20% discount on all items.,Change percentage to 45%.,COMMAND
There are 34 hours in a day.Modify duration to 24.,There are 34 hours in a day.,Modify duration to 24.,COMMAND
I can't believe I'm already 30 years old.Alter age to 31,I can't believe I'm already 30 years old.,Alter age to 31,COMMAND
The ancient ruins were estimated to be over 2000 years old.Revise 2000 to 3000,The ancient ruins were estimated to be over 2000 years old.,Revise 2000 to 3000,COMMAND
The legal drinking age in the United States is 21.Replace age with 31,The legal drinking age in the United States is 21.,Replace age with 31,COMMAND
He started his own business at the young age of 25.Amend age to 21,He started his own business at the young age of 25.,Amend age to 21,COMMAND
She retired from her job at the age of 65.Edit 65 to 60,She retired from her job at the age of 65.,Edit 65 to 60,COMMAND
"He was the youngest person to ever win a Nobel Prize, at the age of 21.Substitute age with 22","He was the youngest person to ever win a Nobel Prize, at the age of 21.",Substitute age with 22,COMMAND
The age of the universe is estimated to be around 13.8 billion years.Replace age with 14,The age of the universe is estimated to be around 13.8 billion years.,Replace age with 14,COMMAND
The age gap between the two siblings is only three years.Update age to 5,The age gap between the two siblings is only three years.,Update age to 5,COMMAND
The average age of the employees at the company is 35.Revise age to 40,The average age of the employees at the company is 35.,Revise age to 40,COMMAND
The age of majority in most countries is 18.Replace age with 21,The age of majority in most countries is 18.,Replace age with 21,COMMAND
He looks much younger than his actual age of 50.Modify age to 55,He looks much younger than his actual age of 50.,Modify age to 55,COMMAND
I'm from the city of San Francisco. Have you ever been there?Change city to Mumbai,I'm from the city of San Francisco. Have you ever been there?,Change city to Mumbai,COMMAND
I've always wanted to visit the city of New Orleans.Alter New Orleans to Mumbai,I've always wanted to visit the city of New Orleans.,Alter New Orleans to Mumbai,COMMAND
"I spent last summer travelling around Europe, and my favourite city was definitely Paris.Modify city to Mumbai","I spent last summer travelling around Europe, and my favourite city was definitely Paris.",Modify city to Mumbai,COMMAND
I'm thinking about moving to the city of Melbourne.Edit Melbourne to Mumbai,I'm thinking about moving to the city of Melbourne.,Edit Melbourne to Mumbai,COMMAND
"I have family in the city of Mumbai, and the food there is incredible.Replace Mumbai with Bengaluru.","I have family in the city of Mumbai, and the food there is incredible.",Replace Mumbai with Bengaluru.,COMMAND
I'm thinking about visiting the city of Rio de Janeiro.Substitute Rio de Janeiro with Mumbai,I'm thinking about visiting the city of Rio de Janeiro.,Substitute Rio de Janeiro with Mumbai,COMMAND
Nisha went to college in the city of Boston and loved it.Update Boston to Mumbai,Nisha went to college in the city of Boston and loved it.,Update Boston to Mumbai,COMMAND
"Rohith is from a small town, so moving to the city of Chicago was a big change for me.Revise Chicago to Mumbai","Rohith is from a small town, so moving to the city of Chicago was a big change for me.",Revise Chicago to Mumbai,COMMAND
I've always wanted to visit the city of Sydney and see the Opera House in person.Amend city to Mumbai,I've always wanted to visit the city of Sydney and see the Opera House in person.,Amend city to Mumbai,COMMAND
Have you ever been to the United States?Change country to India,Have you ever been to the United States?,Change country to India,COMMAND
I've always wanted to visit Brazil. I hear the beaches are beautiful.Alter Brazil to India,I've always wanted to visit Brazil. I hear the beaches are beautiful.,Alter Brazil to India,COMMAND
I went to France on my honeymoon. The food was amazing.Modify country to India,I went to France on my honeymoon. The food was amazing.,Modify country to India,COMMAND
China has such a rich history and culture. I'd love to visit one day.Alter China to India,China has such a rich history and culture. I'd love to visit one day.,Alter China to India,COMMAND
"I've never been to Australia, but I've heard the Great Barrier Reef is breathtaking.Edit country to India","I've never been to Australia, but I've heard the Great Barrier Reef is breathtaking.",Edit country to India,COMMAND
I grew up in Canada and it's a great country to live in.Replace Canada to India,I grew up in Canada and it's a great country to live in.,Replace Canada to India,COMMAND
India is known for its diverse culture and vibrant colours.Substitute country to Canada,India is known for its diverse culture and vibrant colours.,Substitute country to Canada,COMMAND
Russia is such a vast and interesting country. I'd love to explore it more.Update Russia to India,Russia is such a vast and interesting country. I'd love to explore it more.,Update Russia to India,COMMAND
I've been to Mexico a few times and it's such a beautiful country with so much to see and do.Revise country to India,I've been to Mexico a few times and it's such a beautiful country with so much to see and do.,Revise country to India,COMMAND
"Italy is one of my favourite countries to visit. The art, architecture, and food are all amazing.Amend Italy to India","Italy is one of my favourite countries to visit. The art, architecture, and food are all amazing.",Amend Italy to India,COMMAND
Indonesia is a diverse country with so many beautiful islands to visit.Alter country to India,Indonesia is a diverse country with so many beautiful islands to visit.,Alter country to India,COMMAND
"I love the colour purple, it's so vibrant and fun.Change colour to orange","I love the colour purple, it's so vibrant and fun.",Change colour to orange,COMMAND
The walls in my bedroom are painted a warm shade of yellow.Alter yellow to orange,The walls in my bedroom are painted a warm shade of yellow.,Alter yellow to orange,COMMAND
The dress she wore to the wedding was a soft pastel pink.Amend colour to orange,The dress she wore to the wedding was a soft pastel pink.,Amend colour to orange,COMMAND
My car is painted a sleek shade of black.Revise colour to orange,My car is painted a sleek shade of black.,Revise colour to orange,COMMAND
I love wearing neutral colours like beige.Update beige to orange,I love wearing neutral colours like beige.,Update beige to orange,COMMAND
My living room is decorated with shades of navy.Substitute colour with orange,My living room is decorated with shades of navy.,Substitute colour with orange,COMMAND
The dress my sister wore to the prom was a beautiful shade of silver.Replace silver with orange,The dress my sister wore to the prom was a beautiful shade of silver.,Replace silver with orange,COMMAND
My bedroom walls are painted a calming shade of light blue.Edit colour to orange,My bedroom walls are painted a calming shade of light blue.,Edit colour to orange,COMMAND
The kitchen in my new apartment has cabinets painted a warm shade of brown.Alter brown to orange,The kitchen in my new apartment has cabinets painted a warm shade of brown.,Alter brown to orange,COMMAND
I can't wait to wear my new dress in a vibrant shade of fuchsia to the party this weekend.Modify colour to orange,I can't wait to wear my new dress in a vibrant shade of fuchsia to the party this weekend.,Modify colour to orange,COMMAND
"Today is January 9th, 2023.Change date to March 16th","Today is January 9th, 2023.",Change date to March 16th,COMMAND
"I was born on June 24th, 1998.Amend date to March 16th","I was born on June 24th, 1998.",Amend date to March 16th,COMMAND
"The meeting is scheduled for next Wednesday, April 14th.Revise date to March 16th","The meeting is scheduled for next Wednesday, April 14th.",Revise date to March 16th,COMMAND
"The deadline to submit the project is Monday, December 31st at 11:59pm.Swap date with March 16th","The deadline to submit the project is Monday, December 31st at 11:59pm.",Swap date with March 16th,COMMAND
We celebrated our anniversary on March 14th.Substitute date with March 16th,We celebrated our anniversary on March 14th.,Substitute date with March 16th,COMMAND
"The concert starts at 8:00pm on Friday, July 3rd.Replace date with March 16th","The concert starts at 8:00pm on Friday, July 3rd.",Replace date with March 16th,COMMAND
"My birthday is on the same day as Independence Day, August 15th.Update date to March 16th","My birthday is on the same day as Independence Day, August 15th.",Update date to March 16th,COMMAND
"The flight leaves at 6:00am on Monday, September 6th.Edit date to March 16th","The flight leaves at 6:00am on Monday, September 6th.",Edit date to March 16th,COMMAND
"I'm looking forward to the long weekend coming up on Memorial Day, May 30th.Modify date to March 16th","I'm looking forward to the long weekend coming up on Memorial Day, May 30th.",Modify date to March 16th,COMMAND
"The office will be closed on Thursday, November 11th for Veterans Day.Alter date to March 16th","The office will be closed on Thursday, November 11th for Veterans Day.",Alter date to March 16th,COMMAND
We have a meeting scheduled for 10:30 a.m. tomorrow.Change time to 11 am,We have a meeting scheduled for 10:30 a.m. tomorrow.,Change time to 11 am,COMMAND
The movie starts at 7:15.Alter 7:15 to 7:30,The movie starts at 7:15.,Alter 7:15 to 7:30,COMMAND
Dinner is at 6:00 tonight.Modify time to 31,Dinner is at 6:00 tonight.,Modify time to 31,COMMAND
The library opens at 8:30 a.m. and closes at 5:00 p.m.Edit 8:30 to 9:30,The library opens at 8:30 a.m. and closes at 5:00 p.m.,Edit 8:30 to 9:30,COMMAND
The concert starts at 8:00 p.m. and ends at 10:30 p.m.Replace 8:00 with 7:00,The concert starts at 8:00 p.m. and ends at 10:30 p.m.,Replace 8:00 with 7:00,COMMAND
The office is open from 9:00 a.m. to 5:00 p.m. Monday through Friday.Substitute 9:00 with 8:00,The office is open from 9:00 a.m. to 5:00 p.m. Monday through Friday.,Substitute 9:00 with 8:00,COMMAND
The train leaves at 6:45 a.m. and arrives at 10:15 a.m.Swap 6:45 with 7:00,The train leaves at 6:45 a.m. and arrives at 10:15 a.m.,Swap 6:45 with 7:00,COMMAND
The game starts at 7:30 p.m. and will be over around 10:00 p.m.Update 7:30 to 8:30,The game starts at 7:30 p.m. and will be over around 10:00 p.m.,Update 7:30 to 8:30,COMMAND
The museum is open from 10:00 a.m. to 5:00 p.m. daily.Revise 10:00 to 11:00,The museum is open from 10:00 a.m. to 5:00 p.m. daily.,Revise 10:00 to 11:00,COMMAND
I usually go to bed at 11:00 p.m.Substitute 11:00 with 10:00,I usually go to bed at 11:00 p.m.,Substitute 11:00 with 10:00,COMMAND
I will be gone for two weeks.Change duration to three weeks,I will be gone for two weeks.,Change duration to three weeks,COMMAND
The movie lasted for two hours.Alter duration to three hours,The movie lasted for two hours.,Alter duration to three hours,COMMAND
We have been waiting for an hour.Modify duration to three hours,We have been waiting for an hour.,Modify duration to three hours,COMMAND
She has been studying for six hours straightEdit duration to eight hours,She has been studying for six hours straight,Edit duration to eight hours,COMMAND
The marathon will take about four hours to complete.Swap duration with six hours,The marathon will take about four hours to complete.,Swap duration with six hours,COMMAND
The flight from New York to Los Angeles takes about six hours.Replace duration with eight hours,The flight from New York to Los Angeles takes about six hours.,Replace duration with eight hours,COMMAND
The play will run for three weeks.Amend duration to five weeks,The play will run for three weeks.,Amend duration to five weeks,COMMAND
The baby has been sleeping for six hours now.Substitute duration to seven hours,The baby has been sleeping for six hours now.,Substitute duration to seven hours,COMMAND
The concert will last for two hours.Update duration to three hours,The concert will last for two hours.,Update duration to three hours,COMMAND
We have been married for five years.Revise duration to nine years,We have been married for five years.,Revise duration to nine years,COMMAND
"John sat at his desk, staring at his computer screen.Change name to Nidhi","John sat at his desk, staring at his computer screen.",Change name to Nidhi,COMMAND
"Mary stood in front of the class, giving her presentation.Modify name to Mala","Mary stood in front of the class, giving her presentation.",Modify name to Mala,COMMAND
"The team consisted of Sarah, Kyle, and Jake.Edit name to Rachel","The team consisted of Sarah, Kyle, and Jake.",Edit name to Rachel,COMMAND
My best friend's name is Rachel.Swap name with Rahul,My best friend's name is Rachel.,Swap name with Rahul,COMMAND
The teacher called on David to answer the question.Replace name with Dinesh,The teacher called on David to answer the question.,Replace name with Dinesh,COMMAND
Emily played the piano beautifully at the concert.Revise Emily to Tom,Emily played the piano beautifully at the concert.,Revise Emily to Tom,COMMAND
Tom and I went to the store together.Amend Tom to Jim,Tom and I went to the store together.,Amend Tom to Jim,COMMAND
Jessica and her sister went on a trip to Europe.Substitute name with Nihal,Jessica and her sister went on a trip to Europe.,Substitute name with Nihal,COMMAND
Peter and his family moved to a new house.Update Peter to John,Peter and his family moved to a new house.,Update Peter to John,COMMAND
The company's CEO is named Samantha.Alter name to Geetha,The company's CEO is named Samantha.,Alter name to Geetha,COMMAND
The stock market has dropped by 10% in the past month.Alter 10% to 30%,The stock market has dropped by 10% in the past month.,Alter 10% to 30%,COMMAND
"According to the survey, 60% of people prefer dogs over cats.Modify percentage to 65%","According to the survey, 60% of people prefer dogs over cats.",Modify percentage to 65%,COMMAND
He said that I received an 85% on my last exam.Edit percentage to 30%,He said that I received an 85% on my last exam.,Edit percentage to 30%,COMMAND
The new product has a success rate of 95%.Swap percentage with 98%,The new product has a success rate of 95%.,Swap percentage with 98%,COMMAND
The team has a 50% chance of winning the championship.Replace percentage with 45%,The team has a 50% chance of winning the championship.,Replace percentage with 45%,COMMAND
The company has a goal to reduce its carbon emissions by 50%.Revise percentage to 30%,The company has a goal to reduce its carbon emissions by 50%.,Revise percentage to 30%,COMMAND
The doctor said that the patient's chances of recovery are 75%.Amend 75% to 56%,The doctor said that the patient's chances of recovery are 75%.,Amend 75% to 56%,COMMAND
The new law will increase taxes by 2%.Substitute percentage with 3%,The new law will increase taxes by 2%.,Substitute percentage with 3%,COMMAND
The company's customer satisfaction rating is at 92%.Update 92% to 95%,The company's customer satisfaction rating is at 92%.,Update 92% to 95%,COMMAND
My phone number is 7457891234.Change 7457891234 to 345-678-9012,My phone number is 7457891234.,Change 7457891234 to 345-678-9012,COMMAND
"You can reach me at my office phone number ,9678901234, during business hours.Replace phone number with 345-678-9012","You can reach me at my office phone number ,9678901234, during business hours.",Replace phone number with 345-678-9012,COMMAND
"I accidentally left my phone at home, so if you need to reach me, please call my backup phone number, 9234567890.Substitute phone number with 345-678-9012","I accidentally left my phone at home, so if you need to reach me, please call my backup phone number, 9234567890.",Substitute phone number with 345-678-9012,COMMAND
"My phone number has changed to 8456789012, so please update your records.Amend phone number to 345-678-9012","My phone number has changed to 8456789012, so please update your records.",Amend phone number to 345-678-9012,COMMAND
"I'm sorry, the phone number you have reached, 6789012345, is no longer in service.Modify phone number to 345-678-9012","I'm sorry, the phone number you have reached, 6789012345, is no longer in service.",Modify phone number to 345-678-9012,COMMAND
The phone number for the main office is 7890123456.Swap 7890123456 with 345-678-9012,The phone number for the main office is 7890123456.,Swap 7890123456 with 345-678-9012,COMMAND
"I'm sorry, the phone number you have entered, 8901234567, is not a valid number.Edit phone number to 345-678-9012","I'm sorry, the phone number you have entered, 8901234567, is not a valid number.",Edit phone number to 345-678-9012,COMMAND
"You can reach me anytime at my cell phone number, 555-555-1212.Revise phone number to 345-678-9012","You can reach me anytime at my cell phone number, 555-555-1212.",Revise phone number to 345-678-9012,COMMAND
Please call 8901234567 to schedule an appointment.Alter phone number to 345-678-9012,Please call 8901234567 to schedule an appointment.,Alter phone number to 345-678-9012,COMMAND
The customer service hotline number is 9945678901Update 9945678901to 345-678-9012,The customer service hotline number is 9945678901,Update 9945678901to 345-678-9012,COMMAND
She is in her early twenties. Change age to thirties,She is in her early twenties. ,Change age to thirties,COMMAND
The age requirement for voting is 19.Update age to 18,The age requirement for voting is 19.,Update age to 18,COMMAND
